"STRATO","M1","S1","N","DOM1","COST","CENS","SOLUZ"
"174",28,7388.43385714286,2765.37143351772,7,7,1,0,2.08482851665083
"175",29,4390.33,1299.38211888743,6,7,1,0,2
"176",30,28647.87,2228.47451376384,20,7,1,0,4.80016862276499
"177",31,232.187,0,1,7,1,0,1
"178",1,72.4965,3.65347669025682,4,8,1,0,2
"179",2,38.98985,1.22608780323841,2,8,1,0,2
"180",3,14.8921,0,1,8,1,0,1
"181",4,35.56735,0.286767155110206,2,8,1,0,2
"182",5,43.0703666666667,3.14589572123567,3,8,1,0,2
"183",6,857.107852,801.882133658009,25,8,1,0,2
"184",7,52.0204,4.76152149222168,5,8,1,0,2
"185",8,9.801445,3.546355,2,8,1,0,2
"186",9,21.7787,0,1,8,1,0,1
"187",10,20.6076,0,1,8,1,0,1
"188",11,326.453680392157,229.720654363481,51,8,1,0,2
"189",12,506.509248251748,432.614084946926,143,8,1,0,5.85359762557846
"190",13,289.065879300912,274.009030348696,329,8,1,0,8.52995906858922
"191",14,235.383197554585,190.286480820345,229,8,1,0,4.12315432299887
"192",15,326.585371572581,288.297630312942,248,8,1,0,6.76517331147834
"193",16,414.50578,522.95071792473,80,8,1,0,3.95855719267111
"194",17,266.478473944223,209.460999005128,251,8,1,0,4.97465612579484
"195",18,146.14699826087,137.846326244001,92,8,1,0,2
"196",19,247.817525,234.152051175311,92,8,1,0,2.03831812975634
"197",20,446.035191432361,431.722575892907,377,8,1,0,15.4004100062821
"198",21,1707.2304184375,1603.908508375,320,8,1,0,48.5641445327427
"199",22,432.198123657587,376.788758719569,257,8,1,0,9.16256849244813
"200",23,852.736875090908,656.694379012858,330,8,1,0,20.5051717959631
"201",24,280.331084782609,233.627315711472,138,8,1,0,3.05062537887199
"202",25,320.985391753846,209.239894951455,325,8,1,0,6.43448848041067
"203",26,458.828616785714,321.558569139676,280,8,1,0,8.51930746216197
"204",27,313.711719318182,357.421800591804,88,8,1,0,2.97611620017026
"205",28,387.968,0,1,8,1,0,1
"206",29,95.5170125,118.41810955861,16,8,1,0,2
"207",30,139.828886666666,53.8207626968675,15,8,1,0,2
"208",31,1547.45871964286,422.401489030101,56,8,1,0,2.23820386261963
"209",32,3402.4722574468,535.047018510888,94,8,1,0,4.75889338585967
"210",33,4046.57324675325,195.247649058478,77,8,1,0,2
"211",1,519.875,0,1,9,1,0,1
"212",2,4605.34,0,1,9,1,0,1
"213",3,210.134,0,1,9,1,0,1
"214",4,1493.244,1184.176,2,9,1,0,2
