State,County,CFS12_GEOID,CFS12_Name
29,155,E330000US2999999999,Remainder of Missouri
29,157,E330000US2999999999,Remainder of Missouri
29,159,E330000US2999999999,Remainder of Missouri
29,161,E330000US2999999999,Remainder of Missouri
29,163,E330000US2999999999,Remainder of Missouri
29,165,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,167,E330000US2999999999,Remainder of Missouri
29,169,E330000US2999999999,Remainder of Missouri
29,171,E330000US2999999999,Remainder of Missouri
29,173,E330000US2999999999,Remainder of Missouri
29,175,E330000US2999999999,Remainder of Missouri
29,177,E330000US2931200000,"Kansas City-Overland Park-Kansas City,MO-KS  CFS Area (MO Part)"
29,179,E330000US2999999999,Remainder of Missouri
29,181,E330000US2999999999,Remainder of Missouri
29,183,E330000US2947600000,"St. Louis-St. Charles-Farmington,MO-IL  CFS Area (MO Part)"
29,185,E330000US2999999999,Remainder of Missouri
29,186,E330000US2999999999,Remainder of Missouri
29,187,E330000US2947600000,"St. Louis-St. Charles-Farmington,MO-IL  CFS Area (MO Part)"
29,189,E330000US2947600000,"St. Louis-St. Charles-Farmington,MO-IL  CFS Area (MO Part)"
29,195,E330000US2999999999,Remainder of Missouri
29,197,E330000US2999999999,Remainder of Missouri
29,199,E330000US2999999999,Remainder of Missouri
29,201,E330000US2999999999,Remainder of Missouri
29,203,E330000US2999999999,Remainder of Missouri
29,205,E330000US2999999999,Remainder of Missouri
29,207,E330000US2999999999,Remainder of Missouri
29,209,E330000US2999999999,Remainder of Missouri
29,211,E330000US2999999999,Remainder of Missouri
29,213,E330000US2999999999,Remainder of Missouri
29,215,E330000US2999999999,Remainder of Missouri
29,217,E330000US2999999999,Remainder of Missouri
29,219,E330000US2947600000,"St. Louis-St. Charles-Farmington,MO-IL  CFS Area (MO Part)"
29,221,E330000US2999999999,Remainder of Missouri
29,223,E330000US2999999999,Remainder of Missouri
29,225,E330000US2999999999,Remainder of Missouri
29,227,E330000US2999999999,Remainder of Missouri
29,229,E330000US2999999999,Remainder of Missouri
29,510,E330000US2947600000,"St. Louis-St. Charles-Farmington,MO-IL  CFS Area (MO Part)"
30,001,E330000US3099999999,Remainder of Montana
30,003,E330000US3099999999,Remainder of Montana
30,005,E330000US3099999999,Remainder of Montana
30,007,E330000US3099999999,Remainder of Montana
30,009,E330000US3099999999,Remainder of Montana
30,011,E330000US3099999999,Remainder of Montana
30,013,E330000US3099999999,Remainder of Montana
30,015,E330000US3099999999,Remainder of Montana
30,017,E330000US3099999999,Remainder of Montana
30,019,E330000US3099999999,Remainder of Montana
30,021,E330000US3099999999,Remainder of Montana
30,023,E330000US3099999999,Remainder of Montana
30,025,E330000US3099999999,Remainder of Montana
30,027,E330000US3099999999,Remainder of Montana
30,029,E330000US3099999999,Remainder of Montana
30,031,E330000US3099999999,Remainder of Montana
30,033,E330000US3099999999,Remainder of Montana
30,035,E330000US3099999999,Remainder of Montana
30,037,E330000US3099999999,Remainder of Montana
30,039,E330000US3099999999,Remainder of Montana
30,041,E330000US3099999999,Remainder of Montana
30,043,E330000US3099999999,Remainder of Montana
30,045,E330000US3099999999,Remainder of Montana
30,047,E330000US3099999999,Remainder of Montana
30,049,E330000US3099999999,Remainder of Montana
30,051,E330000US3099999999,Remainder of Montana
30,053,E330000US3099999999,Remainder of Montana
30,055,E330000US3099999999,Remainder of Montana
30,057,E330000US3099999999,Remainder of Montana
30,059,E330000US3099999999,Remainder of Montana
30,061,E330000US3099999999,Remainder of Montana
30,063,E330000US3099999999,Remainder of Montana
30,065,E330000US3099999999,Remainder of Montana
30,067,E330000US3099999999,Remainder of Montana
30,069,E330000US3099999999,Remainder of Montana
30,071,E330000US3099999999,Remainder of Montana
30,073,E330000US3099999999,Remainder of Montana
30,075,E330000US3099999999,Remainder of Montana
30,077,E330000US3099999999,Remainder of Montana
30,079,E330000US3099999999,Remainder of Montana
30,081,E330000US3099999999,Remainder of Montana
30,083,E330000US3099999999,Remainder of Montana
30,085,E330000US3099999999,Remainder of Montana
30,087,E330000US3099999999,Remainder of Montana
30,089,E330000US3099999999,Remainder of Montana
30,091,E330000US3099999999,Remainder of Montana
30,093,E330000US3099999999,Remainder of Montana
30,095,E330000US3099999999,Remainder of Montana
30,097,E330000US3099999999,Remainder of Montana
30,099,E330000US3099999999,Remainder of Montana
30,101,E330000US3099999999,Remainder of Montana
30,103,E330000US3099999999,Remainder of Montana
30,105,E330000US3099999999,Remainder of Montana
30,107,E330000US3099999999,Remainder of Montana
30,109,E330000US3099999999,Remainder of Montana
30,111,E330000US3099999999,Remainder of Montana
31,001,E330000US3199999999,Remainder of Nebraska
31,003,E330000US3199999999,Remainder of Nebraska
31,005,E330000US3199999999,Remainder of Nebraska
31,007,E330000US3199999999,Remainder of Nebraska
